Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
-1.79142704402744,-2.26473132913701,2.9153716597084,0.00821508430508995,0.00444951808120779,0.0112189188920075,1,0,1,1,3
-1.8819222100491,-2.21538639424321,2.96737594936503,0.00784124773109127,0.00420561937487797,0.0105375943030549,2,2,1,1,3
-1.85695962025813,-2.28544108468556,2.87777608132429,0.00832046488884078,0.00449674465008622,0.0113155691759318,3,4,1,1,3
-1.78174057005571,-2.19875204633491,2.93336746350516,0.00896511486856693,0.00486578850193156,0.0122659273486145,4,6,1,1,3
-1.67221581520539,-2.10858894193861,2.94963371972827,0.00973674367905053,0.00516298163669834,0.0128483887582704,5,8,1,1,3
-1.59333037643594,-2.22368530351349,2.93612305689618,0.00878772936022477,0.00481024287774606,0.0121797375303226,6,10,1,1,3
-1.61847637796757,-2.2316633669773,2.880156178339,0.0108042667054362,0.00589666039410392,0.014907872018663,7,12,1,1,3
-1.53745973192847,-2.33518092016043,2.96274677785279,0.0123368857615055,0.00688424240363438,0.0176013219254678,8,14,1,1,3
-1.53982696266438,-2.29352503087329,2.89661416253641,0.0109716130439867,0.00592372552125454,0.0148900171816006,9,16,1,1,3
-1.5770760023841,-2.37687499492052,2.95337254848168,0.0107021981035144,0.00576304410014744,0.0144648098663385,10,18,1,1,3
-1.36962748598025,-2.33668413952317,3.01308243596075,0.011653979267911,0.00647944743571781,0.0165368936170306,11,20,1,1,3
-1.33903182345711,-2.31244614949463,2.98983982274625,0.0124760865635122,0.00678872304347446,0.0171358971971781,12,22,1,1,3
-1.33348774761242,-2.3954042004996,3.05591190906038,0.00796719106051992,0.00436379533902956,0.011057284946341,13,24,1,1,3
-1.33621020044338,-2.42162025656822,3.0514552845523,0.00776358521059721,0.00430643144595698,0.0110144003437472,14,26,1,1,3
-1.30118114538014,-2.36242785043892,3.05559320779569,0.00720586739012858,0.00395702922153192,0.0100915315138564,15,28,1,1,3
-1.31814463659908,-2.38746629615879,3.10245670887572,0.00886344791229319,0.00473832875057408,0.0118878749442794,16,30,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,17,32,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,18,34,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,19,36,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,20,38,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,21,40,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,22,42,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,23,44,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,24,46,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,25,48,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,26,50,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,27,52,1,1,3
