Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
-0.382221989506394,-3.70433555523781,0.936399348390614,0.00743216553148394,0.00487385949161531,0.013276328242476,1,0,1,1,1
-0.393144394435354,-3.67412181069005,0.985468557631677,0.00777422684052838,0.00507922028678352,0.0138226068546973,2,2,1,1,1
-0.477421845366119,-3.65988469214766,0.965208564158176,0.00670061869749015,0.00451816256360632,0.0124142387273791,3,4,1,1,1
-0.429490637665073,-3.62218164518963,1.03805009318229,0.007137845169769,0.00485171454993309,0.0133620045531956,4,6,1,1,1
-0.419195976941573,-3.60526711681762,1.03636659469365,0.00771154305698521,0.00523977169269944,0.0144286285204826,5,8,1,1,1
-0.378513486627121,-3.59935092543309,1.06114666833135,0.00672896457893466,0.00451596350694703,0.0123908723265077,6,10,1,1,1
-0.312643572794196,-3.63690748053788,1.05612523975545,0.00737633989779784,0.00482364073575655,0.0131314388719113,7,12,1,1,1
-0.304240872745794,-3.69592650827434,1.01140003325543,0.00699082595135519,0.00452808152443622,0.0122884226917445,8,14,1,1,1
-0.26235026980308,-3.73702306196869,0.97535839338144,0.00922180808746861,0.00602018856924952,0.0163795385775823,9,16,1,1,1
-0.299005191924386,-3.72396595897135,0.958953892725058,0.00745643179850457,0.00480587514736112,0.0130216325080901,10,18,1,1,1
-0.0793091599975932,-3.81078809039914,0.666581243899005,0.00529279622112079,0.00407800865022302,0.0115811862944684,11,20,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,12,22,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,13,24,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,14,26,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,15,28,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,16,30,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,17,32,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,18,34,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,19,36,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,20,38,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,21,40,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,22,42,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,23,44,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,24,46,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,25,48,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,26,50,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,27,52,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,28,54,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,29,56,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,30,58,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,31,60,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,32,62,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,33,64,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,34,66,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,35,68,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,36,70,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,37,72,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,38,74,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,39,76,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,40,78,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,41,80,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,42,82,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,43,84,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,44,86,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,45,88,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,46,90,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,47,92,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,48,94,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,49,96,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,50,98,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,51,100,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,52,102,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,53,104,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,54,106,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,55,108,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,56,110,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,57,112,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,58,114,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,59,116,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,60,118,1,1,1
